kecamatan,total_listing,avg_harga,median_harga,avg_luas_m2,avg_harga_m2
andir,2,1675000.0,1675000.0,9.0,186111.11111111112
antapani,20,937000.0,850000.0,11.525,83555.55555555555
baleendah,1,700000.0,700000.0,15.0,46666.666666666664
bandung,1,1600000.0,1600000.0,15.0,106666.66666666667
bandung kidul,20,1337500.0,1175000.0,15.6875,97421.35642135642
bandung wetan,20,1152500.0,1225000.0,10.7005,112942.55184712773
batununggal,3,1033333.3333333334,800000.0,10.0,100925.92592592591
bojongloa kaler,2,832500.0,832500.0,6.25,133200.0
bojongsoang,64,975129.15625,900000.0,11.03921875,92261.06465630363
buahbatu,8,943750.0,925000.0,11.0,87586.80555555556
cibeunying kaler,136,1016269.1176470588,945000.0,10.351838235294117,102170.79686041083
cibeunying kidul,46,1054965.2173913044,800000.0,9.734782608695653,110944.73775017253
cibiru,84,757916.6904761905,705000.0,12.433928571428572,68196.43560962848
cicendo,24,1240825.0,1300000.0,11.854166666666666,110835.69444444444
cidadap,108,1421042.5925925926,1275000.0,11.70574074074074,125012.6041108331
cilengkrang,1,560000.0,560000.0,20.0,28000.0
cileunyi,52,816923.0769230769,760000.0,13.762115384615385,66278.21603083331
cimahi selatan,77,943441.5584415584,825000.0,11.66948051948052,83673.32472944718
cimahi tengah,71,884577.4647887324,800000.0,13.540845070422534,71356.22836130227
cimahi utara,6,1033833.3333333334,876500.0,13.166666666666666,78673.28042328042
cimenyan,19,1330526.3157894737,1350000.0,14.39684210526316,100237.11153786341
cinambo,2,775000.0,775000.0,16.0,49583.33333333333
coblong,269,1494979.182156134,1400000.0,11.344646840148698,136286.0507629488
dayeuhkolot,90,1204494.8111111112,1150000.0,12.289888888888887,106438.81669976868
gedebage,1,900000.0,900000.0,12.0,75000.0
kiaracondong,12,825000.0,725000.0,11.640833333333333,71651.22823604966
lembang,1,850000.0,850000.0,12.0,70833.33333333333
lengkong,1,850000.0,850000.0,9.0,94444.44444444444
mandalajati,3,1333333.3333333333,1350000.0,16.0,86111.11111111111
ngamprah,1,550000.0,550000.0,9.0,61111.11111111111
padalarang,3,2300000.0,2200000.0,21.0,112222.22222222223
panyileukan,58,877275.8448275862,850000.0,11.421551724137931,87011.78801897337
parongpong,9,1083333.3333333333,1300000.0,10.972222222222221,99915.09859304345
sukajadi,129,1266357.007751938,1129000.0,11.77046511627907,110330.3512659303
sukasari,114,1417918.7631578948,1041000.0,11.39421052631579,130280.86546188426
sumur bandung,2,900000.0,900000.0,9.75,94444.44444444444
ujung berung,7,828571.4285714285,750000.0,12.685714285714285,67840.60846560846
